av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,time
10.0,0.0,9926.0,0.0,0.0,0.0,0
9.7,0.4830458915396479,9926.0,0.0,0.3,0.4830458915396479,1
11.5,5.275730597114805,9844.9,71.15780584962786,0.5,0.7071067811865476,2
25.2,18.74270228352595,9837.1,72.21487996866635,1.0,0.816496580927726,3
39.7,30.58340145314848,9808.6,96.20487398140376,2.0,0.9428090415820634,4
58.6,44.7293093073335,9757.9,137.7279524602355,3.3,2.359378449224852,5
81.0,61.257199123404625,9717.2,163.7354234394283,6.3,3.973523485382827,6
104.5,77.09770136363052,9677.9,184.5929154773943,10.3,7.379400758568107,7
125.6,90.94955866974958,9637.5,208.46382579878616,16.3,12.884529914246428,8
150.1,107.63255393544588,9601.3,227.61910191272514,24.1,17.2140123800996,9
173.2,119.27633648148506,9571.1,242.9885456833991,34.3,24.77924758968906,10
191.2,128.061443586012,9540.4,256.24302700539755,49.4,36.62785825024444,11
203.2,133.79818965724294,9519.4,266.00133667166244,66.6,49.50465746887975,12
218.9,142.84058713591642,9511.1,270.44179903755014,82.2,59.37040040663735,13
229.0,149.23583126492557,9503.1,274.9850298955684,99.4,70.31547956649848,14
226.1,147.44449049651794,9498.4,277.5644870015695,122.0,84.068754930447,15
226.1,148.17890838067638,9495.1,279.1102729109848,143.6,96.68988226972526,16
218.7,143.74131857843335,9493.0,279.805487993197,166.8,111.74952150034271,17
210.2,139.17838274036032,9491.8,280.59611148014466,189.5,126.30056743076547,18
196.2,131.17825022972875,9491.0,280.8997448675713,212.6,139.2473418856612,19
181.6,122.7845448109999,9490.1,281.510390572,234.5,151.17851846226185,20
166.2,112.0315431772082,9490.0,281.57888178389135,255.4,163.95338090783952,21
150.8,102.36405619161445,9489.8,281.4903984942372,275.9,176.07539420499515,22
135.9,92.88517403523318,9489.8,281.4903984942372,295.3,188.24927327585857,23
122.7,84.66541993832743,9489.6,281.16472040424986,311.7,198.6454407005384,24
111.0,76.81290400852075,9489.6,281.16472040424986,326.5,207.82056897450957,25
96.1,67.58114464191259,9489.6,281.16472040424986,342.4,218.5513923797126,26
85.4,60.725612388842976,9489.5,281.0074138998234,353.8,225.5525560829572,27
75.4,53.77153315442826,9489.4,280.8428583943539,364.1,232.01554066723875,28
66.5,48.75391722153661,9489.1,280.37215347541996,373.6,236.80897130153005,29
59.9,45.268213032006365,9489.1,280.37215347541996,381.0,241.55468669985822,30
52.2,39.26491224150811,9489.1,280.37215347541996,389.2,246.38127634488245,31
