av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,time
10.0,0.0,9926.0,0.0,0.0,0.0,0
9.8,0.4216370213557839,9926.0,0.0,0.2,0.42163702135578396,1
5.7,1.888562063228706,9899.7,8.920014947670586,0.2,0.42163702135578396,2
9.5,2.1213203435596424,9888.7,14.376292212450947,0.5,0.7071067811865476,3
15.9,5.384133067531754,9872.4,18.464380123181318,1.3,1.0593499054713802,4
26.9,7.563802688536442,9855.4,26.30251361034193,2.0,1.1547005383792515,5
37.8,12.656135973423238,9826.8,37.03991840643761,2.5,1.8408935028645435,6
52.2,19.28038727135255,9786.7,53.07866279819458,3.8,2.2997584414213788,7
70.9,27.184350072953535,9745.9,73.90301452278895,6.2,3.425395354310701,8
89.7,35.58104988770162,9691.0,97.34817238483045,11.1,3.178049716414141,9
115.3,44.6443974337455,9629.2,121.59568705801664,16.1,4.72463990397387,10
147.8,60.77974808912733,9545.5,154.67043817240722,22.4,7.105553383719588,11
181.6,74.66547618098564,9443.6,191.1434597945277,32.4,11.918239989379492,12
231.8,90.62964930602641,9321.1,237.9806014503423,45.0,18.196458751941574,13
287.5,116.21651250049528,9175.0,284.5936674551202,60.4,24.450403314101436,14
354.4,133.2167823928769,8990.2,344.2504901957294,82.3,32.5236665966322,15
439.0,158.79056786989725,8782.5,398.3580884915815,108.3,42.77343412290702,16
541.0,189.31631378903052,8557.6,463.6114752678152,138.1,55.62263727816021,17
652.8,224.56318091401855,8276.7,522.1296241781771,173.9,69.40773251831047,18
781.8,256.4296741365511,7936.9,600.5324396825796,222.1,87.0012132737878,19
949.3,296.5085908442527,7585.6,674.722527331709,276.0,103.87492478938312,20
1119.8,332.322734702277,7197.8,775.9588763444735,343.6,126.0874476085722,21
1316.1,378.4161289726783,6768.3,852.4216549207192,427.7,152.54875359117892,22
1521.2,421.90383317107285,6293.2,913.1549460828406,531.6,182.10021660857214,23
1756.1,462.20064185733594,5809.2,986.8901548692123,649.2,211.55813490491082,24
1989.4,500.85575656958247,5313.6,1039.4849365591276,786.8,244.75102996037967,25
2222.4,512.5117234431489,4799.2,1073.1061664366878,944.1,288.15445318247106,26
2461.8,521.3011072733726,4311.7,1071.101722526857,1127.1,335.03281762968965,27
2697.0,526.2652478656662,3842.9,1048.9284956034367,1326.6,380.58498831842184,28
2917.8,503.9073548006838,3394.7,997.8132813530017,1555.1,435.6801706654907,29
3101.5,474.4948776213384,2953.2,951.4352666717093,1809.0,484.20151911276685,30
3260.0,434.5245166334755,2543.8,872.8317643675034,2085.0,533.4272833917165,31
3396.7,386.03340385112904,2193.6,800.2581805614708,2379.1,575.86446129083,32
3486.9,324.28192466843825,1893.6,705.5981229503882,2700.0,616.742517857601,33
3551.6,230.23717240175523,1639.3,624.3029980172555,3034.4,657.2606788786318,34
3568.4,152.400933213824,1405.8,528.0047979579983,3379.9,694.0493818486149,35
3551.5,121.16127910993494,1218.2,447.51407178371994,3731.1,718.6792593207194,36
3490.4,121.57137821049821,1076.6,376.2071533373897,4090.1,738.237307525312,37
3391.8,177.89809817233385,943.2,309.219375560818,4457.6,758.1857292247065,38
3272.5,232.74175006264394,828.1,245.09791694114597,4819.1,764.1771827702439,39
3132.4,290.3336012245224,742.6,193.87005957599538,5178.3,760.5597427041627,40
2975.4,335.97691719653733,671.4,154.1472600398002,5513.8,746.9124297919923,41
2803.4,366.6839995903224,616.4,128.4628783388848,5846.9,719.8596236612926,42
2619.6,392.84721372733867,570.1,103.28649476093184,6164.8,689.21643109323,43
2426.4,409.50571831579265,535.5,83.15614495901337,6468.8,658.7454068994417,44
2248.4,411.83928904367536,509.6,68.89799223005946,6747.2,617.4378601212522,45
2060.2,411.12847410781734,488.3,56.68636912384179,7017.0,584.6955523081126,46
1885.8,405.2433562413797,469.9,48.95451403542317,7259.9,547.6406871500895,47
1713.4,395.9021203389657,457.1,47.85731106343338,7484.1,508.77029307056745,48
1544.3,363.6708065758861,445.9,43.32679437843413,7697.8,457.64513180702215,49
1383.7,333.5053056382895,438.0,39.00142447541001,7890.6,407.7794065968075,50
1237.6,300.05488386849055,431.1,37.316811820471,8061.7,361.260770696798,51
1108.9,277.8438610282961,424.9,35.88701405491655,8212.6,325.45086674745033,52
985.1,254.11871678847712,421.1,35.2623500823943,8352.8,291.6237301729748,53
878.4,237.4087895031128,417.2,33.637941540931294,8473.7,266.1812456871362,54
781.7,215.66334361169908,415.8,33.740183757650165,8581.6,238.8538372217527,55
693.3,197.7355416824311,413.6,33.257246495229346,8679.0,214.81568326772089,56
609.7,174.17172241465857,412.2,33.12535115117859,8771.3,188.06030356717437,57
532.3,152.95464106140167,411.3,33.30682279120067,8853.2,164.92409028263748,58
464.2,134.65742542549305,410.6,33.15351498039922,8924.6,146.538732081317,59
406.0,118.55800268223145,409.8,32.696584938899456,8985.6,129.69297076814405,60
349.7,106.70421214220595,409.5,32.122162650315644,9044.0,115.71612775331805,61
302.7,94.70544980212185,409.0,31.773503986113266,9093.4,102.61492202512372,62
260.8,83.08469574275799,408.4,31.80915312016688,9136.0,91.12384734829601,63
220.5,73.63460840905964,407.9,31.95291675088346,9177.3,82.15574640076412,64
189.1,64.8098929348153,407.6,31.651575351350562,9209.6,74.9639913558503,65
158.9,53.9679946305627,407.5,31.532170521195933,9240.1,65.2149437543949,66
132.8,49.00521514197353,407.3,31.836561790913706,9266.6,60.549704100570686,67
110.8,43.21470942990489,407.2,31.800768683931036,9288.8,56.158110129644975,68
94.0,37.17824931626316,407.1,31.869351351346257,9305.8,49.92394215203763,69
79.1,31.377451210135668,407.1,31.869351351346257,9320.6,46.065653630925986,70
65.6,26.34472327515407,407.1,31.869351351346257,9334.2,41.750049900169785,71
54.4,24.350222449360363,407.0,32.024296331934536,9345.4,39.24906226763754,72
45.0,22.08066021557226,406.9,31.991144608052604,9354.8,37.47236018424484,73
37.2,18.335151425002678,406.9,31.991144608052604,9363.0,34.839313681210456,74
31.2,15.2154891840884,406.9,31.991144608052604,9368.9,34.05045276253068,75
25.2,12.470409420348279,406.8,31.87405772027709,9374.9,34.56218228706695,76
21.1,9.97162641364654,406.8,31.87405772027709,9379.0,34.418987008142274,77
17.6,7.974960814950754,406.7,32.03140819744132,9382.7,35.01126802743496,78
14.9,7.078135347674555,406.7,32.03140819744132,9385.3,34.74366449041066,79
11.5,5.9675045966560525,406.6,31.809153120166876,9388.7,34.50941900409221,80
9.4,4.623610902506587,406.6,31.809153120166876,9390.9,34.850314839961555,81
8.2,4.341018825626588,406.6,31.809153120166876,9392.0,34.44480286551869,82
6.6,3.6575644598253874,406.6,31.809153120166876,9393.6,34.364710581253746,83
5.5,2.8771127502720115,406.6,31.809153120166876,9394.9,33.82454729926182,84
4.6,2.5905812303633935,406.6,31.809153120166876,9395.6,34.25135844832371,85
3.6,2.3664319132398464,406.6,31.809153120166876,9396.6,34.64486493936247,86
2.8,2.0976176963403033,406.6,31.809153120166876,9397.4,34.84314056517358,87
2.3,2.1628170930011112,406.6,31.809153120166876,9397.9,34.764125825978205,88
2.1,2.2335820757001272,406.6,31.809153120166876,9398.1,34.81841785926268,89
1.4,1.5055453054181622,406.6,31.809153120166876,9398.8,34.038540248110266,90
0.9,1.1005049346146119,406.6,31.809153120166876,9399.3,34.254115730003086,91
0.8,1.0327955589886446,406.6,31.809153120166876,9399.4,34.12460825985976,92
