av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,time
10.0,0.0,9926.0,0.0,0.0,0.0,0
9.8,0.4216370213557839,9926.0,0.0,0.2,0.42163702135578396,1
8.1,3.21282153600573,9865.1,36.44310634399873,0.4,0.5163977794943223,2
18.3,10.573026477262264,9849.9,40.2780613016841,1.0,0.9428090415820634,3
30.0,17.05546507395471,9817.9,50.799059483857015,2.2,1.9888578520235063,4
46.4,24.35934682576234,9766.5,90.50751963848701,3.9,2.960855732160327,5
74.0,40.22160834399562,9692.4,131.00059372214903,5.8,3.8815804341359024,6
106.4,53.189806876464175,9606.1,163.61231276676241,9.5,5.338539126015656,7
148.2,72.54393304903053,9454.0,225.13896942900746,14.1,7.781031065639337,8
213.1,102.01138280712708,9268.8,303.82041479210125,21.1,11.298475806742942,9
293.4,135.0984825969559,9061.6,364.36587228895206,32.8,18.43788370598848,10
395.5,170.37621769353714,8788.1,469.9142829637479,50.9,24.830313015434267,11
531.2,220.158932490952,8402.9,589.0560150689312,74.9,36.03532217761408,12
702.8,274.9900200209293,7978.8,700.9498000728884,107.2,51.23757301911253,13
908.1,343.2386439005181,7499.4,786.849442043676,149.5,67.18010618231165,14
1152.7,420.1357055894097,6973.6,877.3456432773675,206.6,87.29413878758794,15
1426.3,465.08853398513753,6380.1,959.7906542574792,283.6,115.75856099850432,16
1724.2,513.5481801480104,5764.5,1021.3163891109682,379.4,146.4112928249275,17
2054.3,544.2068744716685,5125.1,1032.6277644921233,499.0,191.1857735293084,18
2390.5,565.3029178138822,4489.9,1035.967550971876,641.5,233.11144211394782,19
2724.3,575.5826130491125,3854.3,1028.8418569764094,824.7,283.3431566924538,20
3053.3,566.0194441104574,3261.5,1062.6307239843743,1032.5,337.9303840207986,21
3354.2,564.6941748514067,2722.9,1044.493226402163,1280.1,384.5593293339504,22
3617.2,560.3952573357883,2232.4,983.2171908812642,1567.1,442.92498737872586,23
3838.4,531.1055973679391,1825.5,939.9237853263542,1884.2,501.546896001649,24
4002.2,522.0140057720887,1477.8,866.2460261252446,2223.1,554.8147738960574,25
4117.7,477.70773259156874,1185.8,791.0083297777451,2589.0,592.3401800392144,26
4161.4,449.1763326108999,931.1,708.8976497194625,2984.6,637.1619713838686,27
4160.2,428.9868684858936,739.4,596.605806952035,3390.7,670.5059532422761,28
4095.8,404.2559145447899,568.8,491.6565648679755,3810.7,686.8189232493039,29
3976.1,372.3721107828685,446.0,407.5752145991652,4236.1,703.0907085465178,30
3817.2,334.35736038622576,357.5,328.58594343371146,4664.9,706.5337060450674,31
3648.7,321.2164552309098,282.4,254.58384342556644,5073.8,715.8647917030144,32
3430.5,329.386045039353,229.5,195.75509075259205,5490.6,710.5527113139148,33
3199.7,346.0311642997877,184.4,144.55233577420248,5883.9,696.0834001755825,34
2970.5,361.1270167437244,159.4,122.19947263024957,6250.0,671.9763554041334,35
2732.8,385.7701676156702,137.4,98.66576576165278,6602.3,651.3053644626135,36
2490.4,397.96432000871636,120.4,81.77503014707824,6935.1,619.6227257147871,37
2272.8,394.8034109950588,105.6,66.9298139845017,7226.5,579.5719205681993,38
2059.5,385.02272660195007,95.3,55.894841741732606,7496.7,543.8594691850296,39
1856.7,378.5962522559121,88.1,51.99027686874623,7748.4,503.27399208692583,40
1664.8,361.95972765550096,84.4,49.58315126016991,7977.4,463.32067128981464,41
1481.0,330.78593279239266,80.5,46.347120250945,8187.0,417.871325223979,42
1321.5,312.06560919852166,76.8,43.66743001877308,8368.7,382.15007232470566,43
1177.3,291.2917781194656,75.0,42.345142709773825,8528.7,349.28022815180617,44
1030.4,263.56453985061546,73.2,41.57403035549957,8685.0,312.81943673627444,45
909.7,244.14433344961242,72.1,41.02424757248924,8814.3,285.4443125297044,46
800.9,225.3453892238411,71.5,40.601724101323576,8928.6,259.7097525229955,47
694.9,205.8102956068471,70.6,40.43980437363388,9039.4,235.4670064172709,48
602.1,189.80367049489146,70.4,40.360046250386446,9134.5,216.30752285679858,49
520.3,171.21270072307397,70.0,40.36775390773626,9218.5,195.18950905323894,50
453.3,150.92901201116592,69.8,40.29281711559904,9286.7,173.32695501085033,51
391.4,132.90280491981935,69.5,40.04788800090878,9348.8,154.48682072519253,52
335.9,116.06937580602386,69.4,39.880933901914695,9404.2,137.7104853588781,53
290.9,106.35626711931721,69.4,39.880933901914695,9449.4,128.41010690578665,54
248.5,96.39646143805165,69.2,39.58057885153048,9492.5,117.67304043171676,55
212.3,89.94078298772166,69.2,39.58057885153048,9528.8,111.81711258419557,56
180.6,81.33087427976605,69.2,39.58057885153048,9560.4,103.83769386242487,57
149.2,70.909645167479,69.2,39.58057885153048,9591.6,94.8615365209267,58
122.6,60.19634540401934,69.2,39.58057885153048,9618.4,84.91852304153409,59
101.9,52.22270685354324,69.2,39.58057885153048,9639.1,77.93223552120992,60
84.0,46.53553003411002,69.1,39.58240349785074,9656.9,74.01418782909126,61
69.7,39.880515989083634,69.1,39.58240349785074,9671.0,68.4965530357388,62
58.8,34.7876095438847,69.1,39.58240349785074,9681.8,63.25749845758296,63
47.1,28.466159246063075,69.1,39.58240349785074,9693.6,59.04273405292513,64
38.6,24.753002062600633,69.1,39.58240349785074,9702.0,56.39345903757121,65
29.7,18.655055912837977,69.1,39.58240349785074,9710.7,51.33344155832747,66
23.7,15.635074529900889,69.1,39.58240349785074,9716.6,48.935785587963245,67
18.7,13.013241119891862,69.1,39.58240349785074,9721.5,46.555224077313696,68
15.8,11.301917241483117,69.1,39.58240349785074,9724.4,44.81616771756471,69
13.0,9.3571125650788,69.1,39.58240349785074,9727.2,43.66997442942538,70
9.6,7.32120208708925,69.1,39.58240349785074,9730.5,41.67933140858508,71
8.0,5.792715732327589,69.1,39.58240349785074,9732.1,41.09190241938726,72
6.8,4.4671641514002545,69.1,39.58240349785074,9733.3,40.81952147359562,73
5.1,4.094712037087183,69.1,39.58240349785074,9735.0,40.737642979872504,74
4.1,2.923088169119167,69.1,39.58240349785074,9736.0,40.59009183970339,75
2.7,2.0575065816014617,69.1,39.58240349785074,9737.4,40.53311403449448,76
2.3,2.110818693198342,69.1,39.58240349785074,9737.8,40.248671475659364,77
1.7,1.946506842754191,69.1,39.58240349785074,9738.4,40.139202228688546,78
1.3,1.3374935098492586,69.1,39.58240349785074,9738.8,39.8937477696833,79
1.0,1.3333333333333333,69.1,39.58240349785074,9739.1,39.800753761706574,80
0.7,0.8232726023485646,69.1,39.58240349785074,9739.4,39.71061990618295,81
0.6,0.8432740427115678,69.1,39.58240349785074,9739.5,39.769474614471726,82
0.5,0.7071067811865476,69.1,39.58240349785074,9739.6,39.679829748738705,83
0.4,0.6992058987801011,69.1,39.58240349785074,9739.7,39.592507708740385,84
0.3,0.6749485577105528,69.1,39.58240349785074,9739.8,39.50752389665094,85
0.0,0.0,69.1,39.58240349785074,9740.1,39.59924241699581,86
0.0,0.0,69.1,39.58240349785074,9740.1,39.59924241699581,87
0.0,0.0,69.1,39.58240349785074,9740.1,39.59924241699581,88
0.0,0.0,69.1,39.58240349785074,9740.1,39.59924241699581,89
0.0,0.0,69.1,39.58240349785074,9740.1,39.59924241699581,90
0.0,0.0,69.1,39.58240349785074,9740.1,39.59924241699581,91
0.0,0.0,69.1,39.58240349785074,9740.1,39.59924241699581,92
0.0,0.0,69.1,39.58240349785074,9740.1,39.59924241699581,93
