av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,time
10.0,0.0,9926.0,0.0,0.0,0.0,0
9.9,0.31622776601683794,9926.0,0.0,0.1,0.31622776601683794,1
13.5,5.835713800003866,9797.3,60.14066843659123,0.2,0.42163702135578396,2
34.7,14.252095362515023,9744.2,85.85362219757792,0.8,0.6324555320336759,3
71.9,26.601796096420927,9581.0,144.87542541400487,2.8,1.813529401164726,4
135.2,50.050641021536045,9258.9,255.2421290548338,6.2,3.2930904093942583,5
250.3,90.1000061659882,8767.8,359.8786215131738,11.7,5.869885480616769,6
448.5,147.55130934318709,8063.3,513.2794452234464,24.1,8.332666639997866,7
728.9,214.59597697378516,7102.8,695.2353398510304,45.0,16.268579122549905,8
1137.6,305.4494684522757,5993.8,822.63922158434,82.2,25.380657552115895,9
1658.2,385.0104760479469,4863.9,873.1267503760391,144.5,42.224926813961964,10
2260.3,450.84637689079364,3727.9,868.457566288903,229.4,67.42930454269205,11
2912.6,510.9357863545847,2730.7,808.7662826799841,356.7,96.33973450474339,12
3587.8,509.55858893316235,1828.0,671.0373395803776,532.0,132.44369873019,13
4205.4,475.91483832019077,1028.0,515.1892856028743,764.2,170.9690030385625,14
4742.4,401.1353886158637,520.2,363.41552587148016,1062.9,218.29055560574915,15
5142.3,337.1564259443316,205.6,173.3494864268263,1431.3,249.224597501932,16
5379.2,232.61690012168555,68.1,70.31903488150749,1858.8,285.1205592961218,17
5453.1,149.47943002299678,17.7,18.34878137037383,2344.0,311.8792501380409,18
5392.8,129.31340052583704,4.0,6.200358412579424,2868.5,345.30928165921057,19
5191.6,173.35140931388793,1.2,3.1198290551460244,3435.4,381.97097039202106,20
4931.4,215.25034520555621,0.1,0.31622776601683794,3984.4,385.0463752733054,21
4598.0,253.7233839352525,0.0,0.0,4539.1,384.5965996267316,22
4230.7,251.9665101203377,0.0,0.0,5078.8,358.95706954701114,23
3851.2,255.84361542855737,0.0,0.0,5595.3,347.5175615066892,24
3483.8,242.49251993045522,0.0,0.0,6073.5,314.1009215027694,25
3134.3,228.2430721840205,0.0,0.0,6514.4,284.2081396910839,26
2792.1,211.49649327274122,0.0,0.0,6922.2,257.4485061780964,27
2485.5,190.03055309899804,0.0,0.0,7280.9,227.2054625712644,28
2201.1,168.68145521465402,0.0,0.0,7601.9,197.23615287264147,29
1945.2,157.2505431893109,0.0,0.0,7884.2,175.03193359435235,30
1698.6,142.15656470556993,0.0,0.0,8145.3,154.70836363228,31
1493.3,138.336184709569,0.0,0.0,8360.7,146.53103577209998,32
1311.1,126.11674485703051,0.0,0.0,8546.3,131.2241932300934,33
1146.1,108.27788324491756,0.0,0.0,8711.1,111.94686239462006,34
1002.0,96.73101306659044,0.0,0.0,8854.7,98.62504752850566,35
876.8,88.38652486537627,0.0,0.0,8977.5,89.76048375785663,36
763.8,77.47372314390073,0.0,0.0,9088.4,79.03051450055365,37
659.1,67.20689448759455,0.0,0.0,9191.6,69.09928444717146,38
570.2,60.863782333995644,0.0,0.0,9278.5,63.04363568196238,39
492.1,57.55470827347181,0.0,0.0,9355.1,59.249847632246656,40
423.1,53.58990369255927,0.0,0.0,9422.4,54.705677137853904,41
361.8,49.832608690383545,0.0,0.0,9483.0,51.60964595456508,42
303.7,41.37645599989336,0.0,0.0,9540.3,43.512578002738984,43
259.4,37.668731506825836,0.0,0.0,9584.4,40.01721851625595,44
218.3,34.444964153785314,0.0,0.0,9625.3,36.75459154990026,45
180.2,29.222517953721162,0.0,0.0,9663.2,31.13340471083895,46
148.9,28.617981915028338,0.0,0.0,9694.5,31.447487092682692,47
123.2,25.4287676111569,0.0,0.0,9720.0,27.56003547812585,48
101.7,21.01348773208928,0.0,0.0,9741.2,23.18428586588578,49
81.2,16.389698661727195,0.0,0.0,9761.6,19.357456214882966,50
62.5,13.410195126594294,0.0,0.0,9780.3,16.94468123696112,51
47.7,10.371435130523965,0.0,0.0,9794.9,14.019430960079813,52
36.9,7.992357460585567,0.0,0.0,9805.6,12.276445377677982,53
27.9,6.349978127696364,0.0,0.0,9814.6,13.082643293904926,54
22.4,6.292853089020909,0.0,0.0,9820.1,13.042239071570494,55
16.9,5.173651192984184,0.0,0.0,9825.5,12.660086009888628,56
12.4,4.115013163202924,0.0,0.0,9830.0,12.055427546683417,57
9.3,3.591656999213594,0.0,0.0,9833.1,12.178761111961355,58
7.3,2.94580681270476,0.0,0.0,9835.1,12.178761111961355,59
5.8,2.936362072739365,0.0,0.0,9836.6,12.536169891779368,60
