av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,time
10.0,0.0,9926.0,0.0,0.0,0.0,0
9.7,0.4830458915396479,9926.0,0.0,0.3,0.4830458915396479,1
10.3,6.61731734835869,9815.5,88.24618342392428,0.4,0.5163977794943223,2
29.8,23.602259778814968,9805.2,93.66227747723319,1.0,0.816496580927726,3
48.9,36.247452017731916,9777.4,117.50196215855763,2.5,2.0138409955990952,4
72.2,51.31125066147233,9720.7,156.9225215760242,3.8,2.7406406388125957,5
98.4,68.82699728707883,9664.2,185.37217818336288,6.3,5.3343748982946035,6
126.6,84.96430623110703,9620.3,211.92191958360513,12.5,9.935905707192587,7
157.5,105.4801192431804,9575.4,239.57332442861366,18.8,15.046594299043221,8
183.1,120.30096517577165,9547.1,251.2309473151922,30.0,23.098821518760552,9
205.5,134.2214174000889,9518.6,264.6831229140905,42.7,31.00913843799383,10
224.9,144.4641054995246,9505.6,269.82718749434997,59.5,43.66857502191301,11
235.3,150.75812121113444,9495.7,273.65836365804716,80.1,54.923077521606935,12
237.1,149.95514144051361,9490.5,274.6424948910856,102.5,68.98510306178026,13
238.3,148.83924960245608,9487.7,274.6359408380483,126.3,83.80141870981528,14
233.0,144.9919537997425,9486.7,274.85796331923876,149.4,97.55021498922719,15
221.5,138.31064070899725,9486.3,274.9121273748719,175.2,113.74806469660142,16
207.1,128.91379548623436,9485.7,274.6399865682749,200.9,129.8216297677531,17
190.2,119.154241776503,9484.7,273.2496009959474,226.1,145.48268320013594,18
176.1,110.0075249951364,9484.2,272.66577016967534,248.2,158.77363341142845,19
158.3,100.05448515683842,9483.6,271.7667300380154,271.8,173.37743028818178,20
143.0,89.4725283723073,9483.2,271.1435863974002,291.2,183.70011794588845,21
131.1,81.12877281074685,9482.8,270.52163602114257,307.8,192.82968881603497,22
118.2,72.8572424524685,9481.3,268.1670499272173,323.7,201.22295539470088,23
107.1,64.39021664818344,9480.5,266.88751271733275,337.7,209.02315129616093,24
95.2,56.748568263877814,9479.3,265.03754451020706,351.7,216.83329490135455,25
87.1,51.34080032272362,9478.0,263.0521705754287,361.3,222.96240340768964,26
78.7,44.67922708970393,9477.5,262.28154931506543,371.5,228.84601809950726,27
69.5,37.98025802966588,9477.1,261.66919319374733,381.4,232.85961436024067,28
62.0,32.903900478008175,9476.2,260.3031565950235,389.4,236.60947665815172,29
54.3,28.15453387605232,9475.2,258.7881158184991,397.9,241.0179569151551,30
47.7,23.832983680418845,9474.3,257.44472977493416,405.2,244.06775015693216,31
