cell,microcell,location_x,location_y,household_number,place_number,Susceptible
0,0,0,0,3,3,17
0,1,0,0,3,3,17
0,2,0,0,3,3,17
0,3,0,0,3,3,17
0,4,0,0,3,3,17
0,5,0,0,3,3,17
0,6,0,0,3,3,17
0,7,0,0,3,3,17
0,8,0,0,3,3,17
1,0,0,1,3,3,17
1,1,0,1,3,3,17
1,2,0,1,3,3,17
1,3,0,1,3,3,17
1,4,0,1,3,3,17
1,5,0,1,3,3,17
1,6,0,1,3,3,17
1,7,0,1,3,3,17
1,8,0,1,3,3,17
2,0,0,2,3,3,17
2,1,0,2,3,3,17
2,2,0,2,3,3,17
2,3,0,2,3,3,17
2,4,0,2,3,3,17
2,5,0,2,3,3,17
2,6,0,2,3,3,17
2,7,0,2,3,3,17
2,8,0,2,3,3,17
3,0,0,3,3,3,17
3,1,0,3,3,3,17
3,2,0,3,3,3,17
3,3,0,3,3,3,17
3,4,0,3,3,3,17
3,5,0,3,3,3,17
3,6,0,3,3,3,17
3,7,0,3,3,3,17
3,8,0,3,3,3,17
4,0,0,4,3,3,17
4,1,0,4,3,3,17
4,2,0,4,3,3,17
4,3,0,4,3,3,17
4,4,0,4,3,3,17
4,5,0,4,3,3,17
4,6,0,4,3,3,17
4,7,0,4,3,3,17
4,8,0,4,3,3,17
5,0,0,5,3,3,17
5,1,0,5,3,3,17
5,2,0,5,3,3,17
5,3,0,5,3,3,17
5,4,0,5,3,3,17
5,5,0,5,3,3,17
5,6,0,5,3,3,17
5,7,0,5,3,3,17
5,8,0,5,3,3,17
6,0,0,6,3,3,17
6,1,0,6,3,3,17
6,2,0,6,3,3,17
6,3,0,6,3,3,17
6,4,0,6,3,3,17
6,5,0,6,3,3,17
6,6,0,6,3,3,17
6,7,0,6,3,3,17
6,8,0,6,3,3,17
7,0,0,7,3,3,17
7,1,0,7,3,3,17
7,2,0,7,3,3,17
7,3,0,7,3,3,17
7,4,0,7,3,3,17
7,5,0,7,3,3,17
7,6,0,7,3,3,17
7,7,0,7,3,3,17
7,8,0,7,3,3,17
8,0,1,0,3,3,17
8,1,1,0,3,3,17
8,2,1,0,3,3,17
8,3,1,0,3,3,17
