av_infections_4,sd_infections_4,av_susceptible_4,sd_susceptible_4,av_recovered_4,sd_recovered_4,av_infections_6,sd_infections_6,av_susceptible_6,sd_susceptible_6,av_recovered_6,sd_recovered_6,av_infections_8,sd_infections_8,av_susceptible_8,sd_susceptible_8,av_recovered_8,sd_recovered_8,av_infections_12,sd_infections_12,av_susceptible_12,sd_susceptible_12,av_recovered_12,sd_recovered_12,av_infections_15,sd_infections_15,av_susceptible_15,sd_susceptible_15,av_recovered_15,sd_recovered_15,time
10.0,0.0,9990.0,0.0,0.0,0.0,10.0,0.0,9990.0,0.0,0.0,0.0,10.0,0.0,9990.0,0.0,0.0,0.0,10.0,0.0,9990.0,0.0,0.0,0.0,10.0,0.0,9990.0,0.0,0.0,0.0,0
9.9,0.31622776601683794,9990.0,0.0,0.1,0.31622776601683794,9.7,0.6749485577105528,9990.0,0.0,0.3,0.6749485577105528,9.9,0.31622776601683794,9990.0,0.0,0.1,0.31622776601683794,9.8,0.4216370213557839,9990.0,0.0,0.2,0.42163702135578396,9.8,0.4216370213557839,9990.0,0.0,0.2,0.42163702135578396,1
13.3,3.8600518131237567,9868.0,65.71318149520857,0.3,0.4830458915396479,8.9,2.7264140062238043,9921.1,47.49608170973452,0.5,0.7071067811865476,9.4,2.118699810942761,9917.6,32.19799855753632,0.3,0.4830458915396479,5.5,2.068278940998476,9934.5,17.36695457214969,0.2,0.42163702135578396,6.4,2.547329756605707,9949.2,7.955431408094027,0.2,0.42163702135578396,2
32.4,15.931799089312614,9826.4,78.96018687358276,1.2,0.9189365834726815,18.9,10.170217958988555,9901.9,54.94330411129883,1.2,1.1352924243950933,20.0,5.395471352079548,9898.9,37.06585730531236,0.9,0.7378647873726218,15.9,5.6460408940936455,9923.2,20.842264752180842,0.6,0.8432740427115678,13.8,3.259175083088085,9937.4,9.979979959899719,0.4,0.5163977794943222,3
64.7,30.335347918448758,9715.3,134.90824042041808,2.6,1.577621275493231,31.5,18.703832049431295,9849.8,84.89967936073467,2.4,1.6465452046971292,37.4,12.668420931153532,9860.3,54.209572750371116,1.3,1.1595018087284057,28.3,6.733828364641056,9893.8,23.126704141412898,1.3,1.0593499054713802,22.8,5.116422361159972,9921.5,13.607595917966798,0.8,1.0327955589886446,4
111.7,50.5416220115219,9543.3,183.44908467110614,5.0,2.6246692913372702,55.3,33.12618970609878,9773.3,135.07203839268718,3.8,2.2997584414213788,58.6,22.157015442819308,9794.8,75.96607429928471,2.2,1.5491933384829668,44.0,9.368979548370131,9850.1,32.73954455666385,2.0,1.1547005383792515,32.8,5.2451035367389185,9880.3,23.888863049081632,1.4,0.8432740427115678,5
189.3,76.25840572975837,9291.4,212.72266765282288,8.9,4.976611966656298,91.3,52.08550662132413,9645.6,187.10199238799024,5.7,3.7133393177689653,86.3,34.07850414035869,9709.9,117.15274929196782,4.4,1.837873166945363,62.2,14.710540438746634,9795.0,47.73538170651479,4.4,2.503331114069145,51.0,8.640987597877148,9835.4,22.92596780945136,2.8,1.0327955589886444,6
292.0,103.54816378006045,8987.8,297.6148891138046,18.9,7.852105167122735,143.1,76.9392978623769,9482.3,260.6999339385332,9.1,4.931756504757937,124.0,48.228622207149975,9615.3,152.4285260558389,8.1,2.5582111805799856,90.0,20.055478608655097,9729.3,62.31648613685182,5.9,3.725288952252936,70.6,11.596934460834419,9798.3,27.05981029743803,5.2,1.5491933384829668,7
444.0,141.21850681361374,8535.9,390.743294532641,32.8,12.416834450767949,211.1,105.17440542049933,9287.9,304.5668873808985,16.4,9.179687721631202,166.8,65.72129707247787,9477.1,189.85634920469036,16.1,4.771442828607157,123.4,30.335897327533708,9657.9,69.83066820690048,11.2,5.094659513211414,92.9,14.999629625057043,9755.7,36.64560000873229,9.1,1.66332999331662,8
635.3,182.21053146779903,8039.5,466.896431532495,56.6,20.178095934838737,312.5,139.11486061684585,9034.2,345.1330822225601,26.6,14.796395957574713,228.2,82.28649139844686,9333.3,214.76966990501967,26.5,7.5901983578238,162.7,38.22172157294854,9567.1,92.44872452698667,17.8,6.408327915038888,117.5,21.950702342597907,9704.4,55.52817102856691,14.0,3.265986323710904,9
