av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,time
10.0,0.0,9926.0,0.0,0.0,0.0,0
9.8,0.4216370213557839,9926.0,0.0,0.2,0.42163702135578396,1
5.5,1.90029237516523,9903.6,5.929212051829109,0.3,0.4830458915396479,2
10.2,2.820559440174157,9893.0,9.309493362512628,0.5,0.7071067811865476,3
17.3,4.3982319680121975,9876.0,13.432961119739923,1.1,0.9944289260117533,4
25.7,5.793674711844519,9850.5,19.03359602854326,2.2,0.9189365834726815,5
36.1,8.26572575290411,9829.6,24.139409916381783,3.5,0.8498365855987975,6
50.2,12.191071414039959,9804.1,33.98839671286528,5.2,1.6865480854231356,7
63.0,16.73983937265296,9776.8,52.822133408049496,7.9,1.1972189997378648,8
76.3,25.09559500966034,9746.8,66.75627311346852,12.5,2.173067468400883,9
95.9,34.83755955223551,9715.9,84.6173741024856,16.8,1.6865480854231356,10
109.3,42.47626788376461,9682.3,103.70476256073188,24.5,3.6285901761795403,11
126.8,50.71006912942548,9642.5,118.8334502103212,32.7,5.831904586934796,12
147.7,59.044333625957144,9598.1,142.78690416141112,41.8,10.064238117656442,13
169.2,72.91364755654459,9555.8,159.99777776234546,53.6,12.500666648889837,14
187.7,83.98154559187392,9506.1,182.82806130351,69.5,18.05700848854969,15
212.2,100.19181603304733,9446.5,223.85176146528556,86.5,23.62790252599197,16
236.8,112.70886783607087,9388.3,254.78140957822384,104.3,32.91757382716209,17
261.2,127.20045422700169,9324.9,288.5101384700371,123.8,40.68524165946282,18
287.8,139.74961737176798,9262.3,325.58837339329074,146.0,52.80782770259222,19
314.1,156.55205027224793,9191.4,360.31011334373864,170.9,64.64338068717218,20
341.6,178.2976288245148,9113.3,399.7755064477507,197.2,76.98022834179926,21
378.3,203.49995904995495,9032.5,445.0933110658433,223.9,89.4196722079531,22
407.2,218.7595331256065,8951.4,486.5271946264783,258.1,108.04983418157877,23
438.5,238.06780080006155,8861.8,514.0529155641469,290.2,124.06252903722022,24
470.8,248.0863648902222,8756.4,559.7287438274603,332.7,145.6274165273986,25
519.2,267.5065108241916,8667.9,590.2836323892664,372.6,162.1166932250415,26
547.6,278.1551126020636,8565.5,625.3760202203684,421.7,186.4683768244781,27
586.2,285.793554083285,8456.1,636.7602810756616,468.9,213.1996716695408,28
620.7,290.99562806948757,8352.5,661.3385836485138,521.1,241.52085256189002,29
659.5,292.3530019989153,8232.2,692.9341479053644,577.5,269.43449007958213,30
701.7,289.68145340087693,8115.8,729.220558008496,637.7,299.7121025992185,31
740.3,297.7605488382308,8002.9,748.6502595412034,699.6,325.5228955934675,32
779.3,299.70876604538023,7882.2,758.3764529865391,766.9,352.9319890416408,33
817.0,302.9066596237931,7742.9,790.6285052623219,836.8,375.15442746213785,34
851.9,295.8379624050977,7629.0,812.89223011281,912.7,408.72404436788946,35
892.4,288.33129093688973,7504.6,822.3247803905975,991.1,442.53021240237246,36
922.2,281.5085552281967,7380.8,822.6897349548005,1071.6,472.2073932312181,37
947.3,267.19907268634836,7259.2,835.7807793381653,1162.0,510.64947751749327,38
982.2,267.6717724710205,7144.1,847.3339168631613,1251.4,533.6010161576198,39
1005.5,259.4006981914702,7013.3,846.1805756850406,1347.1,561.879870514053,40
1027.3,246.89136162378068,6895.4,838.0001591089746,1443.9,589.8810520397783,41
1052.1,236.67767580027956,6776.7,843.0081125219245,1544.4,608.1211867529183,42
1061.4,222.47706498523493,6661.4,841.1668086652018,1652.9,636.9541148657762,43
1076.0,213.81092374130725,6537.5,838.8966629514694,1753.3,651.3664355286763,44
1074.7,200.69548519530224,6429.9,830.4011681109318,1865.6,671.4538455222867,45
1081.5,179.98348689686938,6331.0,826.9508919989008,1975.6,692.1568865189131,46
1088.3,169.84636848896383,6218.6,821.6301141294934,2087.9,705.0601944357501,47
1089.3,155.88389554052364,6112.4,816.9035302762363,2197.4,718.5057333723155,48
1088.3,152.8572682094131,6005.8,798.6895934383186,2311.0,732.46903612978,49
1084.5,146.50237009838594,5906.9,791.4977995336858,2424.6,746.4919736116835,50
1077.9,142.80402266354014,5807.9,777.7063784688352,2534.4,755.7404316298024,51
1073.1,138.04866291758617,5724.8,763.8891426262205,2647.6,769.9336479348219,52
1061.9,137.216333656829,5639.2,750.7162209813002,2757.8,776.8176963312134,53
1054.7,140.0055951262901,5550.0,731.8633752279178,2865.5,782.5556778203637,54
1035.2,144.06695974056262,5467.7,718.3894100308303,2974.7,782.8703667345642,55
1014.2,150.4480715138025,5392.5,704.5476484162649,3082.9,787.0643698086086,56
992.2,154.30762924899224,5320.1,691.0247543403284,3195.2,776.7091261641431,57
972.0,163.29863577031023,5250.0,673.8141847390536,3300.5,774.3344454002633,58
941.3,163.24899182945458,5179.6,660.2339989226042,3408.2,769.660213629654,59
920.8,172.49270515976417,5122.5,651.0334092809677,3510.5,771.6888045780573,60
894.1,176.65562858598963,5065.2,647.9740735554162,3608.5,762.3426249251564,61
869.7,175.95141374822768,5009.3,631.9504287872938,3703.0,754.932962439565,62
841.5,185.47910933579556,4952.4,619.4709570808519,3796.4,749.4444164401609,63
815.6,190.46912844051363,4902.2,606.8579918088104,3889.0,742.682525264553,64
789.2,192.76744768992737,4849.8,590.1479663798073,3979.1,734.1792772280563,65
769.0,192.1550300032647,4801.6,571.8613274018255,4058.7,724.3634830356618,66
743.1,192.4430363048303,4756.7,554.4711293956913,4140.4,711.8971835876301,67
716.5,185.11753023417313,4720.7,540.2635262330576,4222.0,697.6133918184515,68
686.3,180.09876919808937,4684.2,523.7350475192586,4299.7,687.2266406037791,69
655.8,178.44065306612913,4643.2,506.83370053697104,4375.7,679.219494877924,70
627.3,178.3635799894885,4609.0,497.50332215529534,4448.6,667.4698827995495,71
596.6,172.9137228665081,4578.3,483.8172405177623,4518.8,655.5414725417623,72
574.7,172.13176477467616,4547.1,475.2324460490653,4584.9,642.8418589012041,73
546.5,164.68977570639356,4520.2,464.1313990192385,4650.8,628.2683078642966,74
517.0,159.12678383393958,4495.6,453.3409803276607,4713.3,613.2936671955958,75
489.8,154.9048453442019,4470.7,442.3274428143326,4774.0,600.7393592713713,76
461.4,155.8419427211786,4445.7,431.8299691107858,4831.2,585.3317767633062,77
440.3,154.20192389634227,4422.8,423.09200470399395,4883.6,575.6056134387695,78
413.6,155.63861274689444,4404.4,417.1003609577809,4934.8,565.0730139646655,79
388.3,148.26031910872925,4384.8,409.27898662023796,4982.9,549.4741829947772,80
365.6,143.79707924711127,4366.8,399.4968502170365,5028.5,537.3319375498828,81
345.7,141.05479628695917,4351.8,396.21256921001384,5070.0,526.267992566525,82
328.3,138.7748376167508,4339.3,391.5155878832355,5110.5,515.6857893459285,83
309.8,136.0717131188959,4322.8,384.0106480005181,5148.2,506.108640072026,84
292.7,132.5535950306726,4307.3,375.27176818940166,5184.4,493.44845503636725,85
277.3,131.93773784125096,4296.5,372.04457618229924,5219.3,480.37255218100137,86
262.3,130.45224754249688,4284.7,369.94445529025035,5250.5,472.85756605745223,87
248.4,128.47325705288932,4273.9,367.5490745767458,5281.5,463.98545235815317,88
235.1,125.57109540017561,4263.0,362.8850445465555,5308.6,455.29214064524916,89
220.9,120.81799902700297,4251.4,359.23226779094085,5334.7,444.85204781415183,90
207.6,118.51600923269584,4241.7,357.06334638735086,5361.1,436.72682791674504,91
