av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,time
10.0,0.0,9926.0,0.0,0.0,0.0,0
9.8,0.4216370213557839,9926.0,0.0,0.2,0.42163702135578396,1
11.8,2.6161889160464775,9801.9,60.90511746424379,0.3,0.4830458915396479,2
32.2,12.336035739968402,9778.9,64.55910298151437,0.8,0.7888106377466155,3
55.8,23.827155376446708,9716.9,86.88875390725521,2.5,1.0801234497346435,4
88.7,37.532356411205754,9597.1,127.93961249137988,5.1,1.7919573407620815,5
140.2,55.93011512394533,9477.4,154.18689957321277,9.3,2.7908580918579307,6
201.1,75.6489700304417,9307.7,217.09293964669703,15.6,5.125101625008686,7
285.4,106.09555441519059,9036.2,306.0997658716299,26.0,10.143416036468626,8
394.2,130.1919949749429,8718.7,385.03623206134773,43.7,20.693799393377077,9
544.8,168.02499814015772,8353.4,464.058473327087,65.7,31.361866441056517,10
728.7,212.55746935306172,7876.6,536.0050165602722,97.2,38.691945759636674,11
944.7,259.86921924520243,7312.1,683.4816830838345,144.2,51.157273839275945,12
1211.9,325.10389792256325,6661.0,816.4526250119409,205.1,66.50054302201015,13
1535.4,390.5759849248287,5966.2,949.3088479988422,280.8,90.46398915222197,14
1899.5,469.40369974397663,5152.1,1119.4576514247126,384.2,118.22652456666022,15
2305.1,547.2654139750962,4351.4,1251.7870958487044,512.1,150.6817470329067,16
2735.1,646.595090540526,3644.8,1396.6475575462837,671.3,187.31853440952747,17
3152.8,720.8534756338026,2999.8,1451.1456623417696,868.7,233.54088388212554,18
3539.4,773.9364314980913,2440.6,1467.8848123140394,1110.8,284.1481616653146,19
3857.2,801.4596129008069,1959.3,1353.5613149515368,1386.8,348.2590989478954,20
4111.6,768.4229448827139,1568.3,1211.103725257805,1712.9,418.53167940631045,21
4284.7,715.2736927607191,1289.3,1074.53649439085,2072.9,486.43863379098957,22
4388.7,625.0022311071289,1038.4,861.4263623652215,2467.4,565.8875428131557,23
4407.5,503.3126375436158,850.1,663.3707610881465,2887.2,638.0617873250555,24
4357.6,382.8098454556488,696.0,520.4796932744938,3325.5,702.0481544104443,25
4258.4,273.34804838439135,603.3,439.1762617547639,3768.8,757.9793019748114,26
4081.8,248.04291743343308,516.8,345.4567990357116,4226.2,805.823912388915,27
3878.4,298.0101415127419,451.7,295.82767130731884,4672.3,840.7811249070711,28
3627.4,365.9924710822463,410.4,267.73627156422253,5116.6,858.5107518902201,29
3372.5,426.29130624231334,374.2,235.35354020895647,5533.8,869.3083841000654,30
3125.1,459.63402107908996,344.7,214.6009474971317,5920.2,840.6793284798509,31
2861.1,495.90802238587213,326.5,202.87448226811463,6294.7,821.5382658295488,32
2598.5,495.3625496094306,311.2,196.66881354760397,6642.7,772.1903982251471,33
2357.0,494.00877185194463,298.7,187.24556069504024,6960.0,729.1971231734561,34
2124.9,490.25309789944214,288.2,176.01439335084694,7249.8,686.8797080518053,35
1902.6,470.4449902899263,276.9,166.7042957521558,7516.8,635.8252380437043,36
1707.1,446.16699663790564,269.4,161.26182988474915,7747.4,584.3994448244378,37
1526.1,413.282375891136,263.7,157.19347597431926,7954.7,534.5939372811646,38
1358.0,387.2472652510853,260.1,155.69089747173902,8142.3,491.4294455972292,39
1202.5,356.3650593921289,258.1,154.31889781301,8313.5,448.1862831953299,40
1061.6,313.8369003160718,255.6,152.19300611759763,8465.7,398.5944890068937,41
933.2,288.5688055829243,253.6,150.95194231572142,8601.9,368.1646521749625,42
824.2,252.7584705691274,251.5,149.36179044335418,8717.6,327.6268880567921,43
728.9,227.3897535070567,249.0,145.2101924797292,8817.6,299.0976057707212,44
638.7,204.89132620868935,246.6,143.52715577354843,8911.0,277.4959459163323,45
557.8,186.70880476768573,244.6,141.7448411759666,8993.9,258.57749751713163,46
481.3,164.32897222069855,243.1,140.47969406446057,9072.9,238.36407727116378,47
415.2,144.25887224785245,241.7,138.97965478603135,9139.6,222.03212980707693,48
361.1,133.28536637188978,241.1,138.89040443617566,9195.1,212.9843238884548,49
312.5,123.36778798013326,239.9,136.8254768349488,9245.7,204.15955089640607,50
269.0,109.84635734616884,239.5,136.70995249472918,9290.8,194.82630440699964,51
230.3,104.9550697520928,238.7,136.2465493956534,9330.0,190.0526242912736,52
197.0,91.64666448437232,237.8,135.9818615355249,9363.9,182.10708083127597,53
167.1,81.22868951300397,237.4,135.36961746763316,9394.3,175.05240485193127,54
141.2,71.85602889729496,237.3,135.34240527885805,9421.0,171.22824273790556,55
117.2,62.81330361564427,236.9,134.72890475980932,9445.3,166.3570791333443,56
96.7,51.48689153561321,236.9,134.72890475980932,9466.5,157.72567606096635,57
79.4,41.876007450567684,236.4,133.76945341394898,9484.1,152.40767697199507,58
64.3,37.375125417849766,236.3,133.57898204599573,9499.6,150.0045925222884,59
52.8,32.32749088108551,236.2,133.38898838443234,9511.8,146.41402482913534,60
43.5,28.91846776331308,235.8,132.94510145168945,9521.0,144.1650288924313,61
36.1,22.936869882353168,235.4,132.66348404892736,9528.6,141.2910314052366,62
28.6,18.703535019408022,235.4,132.66348404892736,9536.4,138.47438591868013,63
23.3,17.975600747185677,235.2,132.2865576441285,9542.0,138.1327863567034,64
19.4,15.721181748060658,235.1,132.25686287591196,9545.8,136.70064618233033,65
16.9,14.586523460601112,235.1,132.25686287591196,9548.6,134.71797702360786,66
13.9,12.178761111961357,234.9,132.03993503650494,9551.7,133.61391311453227,67
12.1,11.140017953306899,234.6,131.7963074849469,9553.6,132.98972391379218,68
10.3,8.393780766469634,234.6,131.7963074849469,9555.5,130.83174096695512,69
8.1,7.504813270310076,234.6,131.7963074849469,9557.8,130.18943462850157,70
6.6,5.872724145478731,234.5,131.76936922770278,9559.4,128.32528113266605,71
5.9,5.685263601823773,234.5,131.76936922770278,9560.3,127.96097495373779,72
4.9,4.931756504757938,234.5,131.76936922770278,9561.4,127.67423824370799,73
4.2,4.289522117905443,234.5,131.76936922770278,9562.2,126.83304861991697,74
3.5,4.196559437338057,234.5,131.76936922770278,9562.8,126.56645158440156,75
3.1,3.6347092196090616,234.1,131.34301994734585,9563.3,126.11022515596777,76
2.8,3.6147844564602556,234.1,131.34301994734585,9563.6,126.03544475001203,77
2.5,3.2058973436118907,234.1,131.34301994734585,9563.9,125.70021656482717,78
2.0,2.9814239699997196,234.1,131.34301994734585,9564.5,125.20849278969325,79
1.7,2.869378562220979,234.1,131.34301994734585,9564.8,124.97537535228466,80
1.3,2.2135943621178655,234.1,131.34301994734585,9565.1,124.72053203507076,81
1.2,2.2509257354845507,234.1,131.34301994734585,9565.2,124.73064312081989,82
1.1,2.1317702607092643,234.1,131.34301994734585,9565.5,124.4438740066291,83
0.9,1.66332999331662,234.1,131.34301994734585,9565.7,124.03498610383191,84
0.6,1.0749676997731399,234.1,131.34301994734585,9566.0,123.60420704814217,85
0.4,0.6992058987801011,234.1,131.34301994734585,9566.2,123.37819004093787,86
0.3,0.6749485577105528,234.1,131.34301994734585,9566.3,123.35589883656873,87
0.2,0.6324555320336759,234.1,131.34301994734585,9566.4,123.15320178992957,88
0.1,0.31622776601683794,234.1,131.34301994734585,9566.5,123.13068937785846,89
0.2,0.42163702135578396,234.1,131.34301994734585,9566.5,123.13068937785846,90
0.2,0.42163702135578396,234.1,131.34301994734585,9566.5,123.13068937785846,91
0.1,0.31622776601683794,234.1,131.34301994734585,9566.6,123.10898514008724,92
