av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,time
10.0,0.0,9926.0,0.0,0.0,0.0,0
9.8,0.4216370213557839,9926.0,0.0,0.2,0.42163702135578396,1
11.8,2.6161889160464775,9801.9,60.90511746424379,0.3,0.4830458915396479,2
32.2,12.336035739968402,9778.9,64.55910298151437,0.8,0.7888106377466155,3
55.8,23.827155376446708,9716.9,86.88875390725521,2.5,1.0801234497346435,4
88.7,37.532356411205754,9597.1,127.93961249137988,5.1,1.7919573407620815,5
138.4,54.69145779329305,9491.4,153.1892076268212,9.8,3.5213633723318014,6
201.9,79.94366071733823,9326.5,230.550187353836,14.8,5.329165037789691,7
281.5,109.41688880403954,9064.9,296.2785663676819,26.3,10.708771067577166,8
387.3,140.85141895707767,8719.1,436.8547813633267,43.2,17.693690024035877,9
536.5,190.63300984993245,8362.3,566.30047972197,65.7,27.956513850383182,10
722.4,256.5658676528202,7921.2,719.6210113663997,96.5,38.485928164287095,11
945.8,333.8691693196936,7349.8,888.2304255590938,138.0,53.71943575446207,12
1211.2,428.0352529614562,6692.7,1163.3413610038208,192.5,67.36179266550967,13
1526.3,538.0997532469648,5946.3,1386.3367436040446,270.2,99.92752929554052,14
1884.5,661.4820481313155,5158.8,1547.983476799557,372.4,127.59676066943601,15
2302.2,779.1184191835738,4361.3,1596.917589886494,501.4,167.08959672383358,16
2724.9,857.1295053192889,3607.5,1639.919052880355,665.6,219.83893093707394,17
3146.0,913.9191551894633,2879.0,1585.1523586078406,866.1,283.97357075771845,18
3551.9,915.6547687614344,2255.1,1505.0649635296293,1096.0,359.90955654009645,19
3918.7,878.9018463716842,1744.4,1321.0781119138178,1378.0,439.8747296421764,20
4213.6,785.3949042077849,1313.4,1064.412639283594,1700.9,529.5863060498784,21
4418.6,636.2368880989044,998.5,852.1764619034149,2067.0,623.7763131835713,22
4547.4,478.1615719491571,739.6,625.2041799817614,2468.8,711.2805041300904,23
4600.3,326.2909574120755,568.5,455.3092355751199,2890.9,796.4231775744461,24
4550.1,242.40711852400523,442.4,319.4141164347277,3345.1,861.5169373455947,25
4419.0,274.4282946215439,356.9,224.56696600840968,3808.9,910.4934498513551,26
4238.9,384.48564487001477,295.8,167.81259388575896,4280.3,938.8328510561516,27
4011.1,473.13551030451214,257.4,138.38850305490618,4742.7,943.1895120046424,28
3743.8,539.0866349669597,228.1,119.77242309201785,5204.2,933.5576873206901,29
3478.2,582.2793907471644,209.7,109.1971204341539,5626.7,907.1579612540843,30
3196.7,588.4896015318462,188.5,96.3468848599799,6037.9,857.2851787927852,31
2915.1,594.8475901905929,176.1,89.80775764561396,6422.5,808.5411073175081,32
2647.6,576.6782657793012,167.2,86.6471772958204,6773.4,744.3695617396271,33
2386.7,555.7469548074714,157.5,81.21884017886491,7098.9,687.4071169579527,34
2140.8,522.804148585087,149.9,78.67153939711051,7399.2,620.2552879437806,35
1909.0,486.08504057074896,145.0,76.4431524438622,7669.9,561.3749885573616,36
1697.1,448.6816366992425,140.9,74.23453823299951,7910.2,505.0022662215377,37
1505.0,418.3541827473728,136.5,72.18995005462249,8123.1,459.5380409836721,38
1332.0,376.21890790690816,134.3,70.75788138276737,8310.7,405.79908821977415,39
1169.3,343.2119688407669,131.9,70.24789439311806,8481.5,363.5416069722969,40
1030.4,306.0425533229725,130.2,69.48668937285758,8628.4,319.0092997599495,41
901.5,275.7096903145287,129.0,68.83474574822095,8760.8,282.9482873836372,42
786.4,243.71850793715095,128.0,68.46085661813537,8879.1,245.56983618605207,43
680.5,216.9092232043421,127.8,68.44754682723601,8985.4,218.97447847231473,44
595.8,188.1227731503493,127.3,67.96739414356466,9071.2,190.86225399486403,45
519.7,165.35554286311526,127.2,67.83280098071204,9147.9,169.76549184749595,46
450.2,147.1966183186436,126.8,67.74101006365674,9218.2,153.3223184449457,47
386.4,131.68244631182498,126.2,67.62773921336652,9282.0,139.17854240746547,48
329.6,116.38652079266835,125.5,67.16852768306829,9339.5,124.30272187955768,49
281.4,106.58246676739202,125.4,67.14031741228384,9387.9,117.63262019241658,50
234.7,96.19199550898193,125.4,67.14031741228384,9434.1,109.34598504034999,51
198.7,86.44850747378143,125.3,67.14172407014219,9469.9,101.56929763576305,52
168.0,74.12451985979028,125.3,67.14172407014219,9500.6,92.48327176065708,53
140.8,64.24224985682449,125.2,67.11482697586278,9527.3,85.43099879760013,54
115.5,53.50025960476994,125.1,66.96010420806972,9553.0,80.35615166937197,55
94.2,47.87437263876734,125.1,66.96010420806972,9574.2,76.3163008653969,56
76.9,38.7483332974895,124.6,67.24449585075511,9591.6,72.82887095406905,57
63.4,36.046883052183276,124.6,67.24449585075511,9605.1,72.9907908955339,58
50.1,27.985909152841742,124.6,67.24449585075511,9618.4,70.30283699032982,59
40.3,21.843127574187314,124.6,67.24449585075511,9628.2,68.34682793582222,60
32.3,16.746807324250064,124.6,67.24449585075511,9636.2,67.75577056195615,61
24.9,13.916017948952048,124.6,67.24449585075511,9643.6,66.553570736496,62
19.5,12.231562087939182,124.6,67.24449585075511,9649.2,65.68747555237942,63
15.8,9.366607354497857,124.4,67.36830774844273,9652.9,64.89555711551702,64
12.6,9.082339395160746,124.4,67.36830774844273,9655.9,64.32115601503996,65
9.6,7.381658952355418,124.3,67.43235293404956,9658.9,64.35569559530498,66
7.5,5.522680508593631,124.3,67.43235293404956,9661.0,64.65463805654025,67
5.3,5.078276172963508,124.3,67.43235293404956,9663.0,65.04357513749277,68
4.1,4.332051092342595,124.3,67.43235293404956,9664.4,65.21451781109273,69
3.2,3.4896672875473076,124.3,67.43235293404956,9665.3,65.4251905274685,70
2.5,2.9907264074877267,124.2,67.49781889480248,9666.0,65.38433383549236,71
1.9,2.685351208149711,124.2,67.49781889480248,9666.5,65.36096354518924,72
1.6,2.716206504995115,124.2,67.49781889480248,9666.9,65.36980274646017,73
1.3,2.406010991015812,124.2,67.49781889480248,9667.2,65.30917920850705,74
1.1,2.1317702607092643,124.2,67.49781889480248,9667.4,65.34727742352138,75
0.8,1.5491933384829668,124.2,67.49781889480248,9667.7,65.5337911140335,76
0.4,0.6992058987801011,124.2,67.49781889480248,9668.1,65.71901466766593,77
0.3,0.4830458915396479,124.2,67.49781889480248,9668.2,65.8294091657453,78
0.3,0.4830458915396479,124.2,67.49781889480248,9668.2,65.8294091657453,79
0.2,0.42163702135578396,124.2,67.49781889480248,9668.3,65.7572133770213,80
0.2,0.42163702135578396,124.2,67.49781889480248,9668.3,65.7572133770213,81
0.2,0.42163702135578396,124.2,67.49781889480248,9668.3,65.7572133770213,82
0.2,0.42163702135578396,124.2,67.49781889480248,9668.3,65.7572133770213,83
0.2,0.42163702135578396,124.2,67.49781889480248,9668.3,65.7572133770213,84
0.2,0.42163702135578396,124.2,67.49781889480248,9668.3,65.7572133770213,85
0.2,0.42163702135578396,124.2,67.49781889480248,9668.3,65.7572133770213,86
0.1,0.31622776601683794,124.2,67.49781889480248,9668.4,65.8688933496769,87
0.1,0.31622776601683794,124.2,67.49781889480248,9668.4,65.8688933496769,88
0.1,0.31622776601683794,124.2,67.49781889480248,9668.4,65.8688933496769,89
0.1,0.31622776601683794,124.2,67.49781889480248,9668.4,65.8688933496769,90
0.1,0.31622776601683794,124.2,67.49781889480248,9668.4,65.8688933496769,91
0.0,0.0,124.2,67.49781889480248,9668.5,65.86897769225072,92
