av_infections,sd_infections,av_susceptible,sd_susceptible,av_recovered,sd_recovered,time
10.0,0.0,9926.0,0.0,0.0,0.0,0
9.8,0.4216370213557839,9926.0,0.0,0.2,0.42163702135578396,1
11.8,2.6161889160464775,9801.9,60.90511746424379,0.3,0.4830458915396479,2
32.2,12.336035739968402,9778.9,64.55910298151437,0.8,0.7888106377466155,3
55.8,23.827155376446708,9716.9,86.88875390725521,2.5,1.0801234497346435,4
88.7,37.532356411205754,9597.1,127.93961249137988,5.1,1.7919573407620815,5
143.7,55.845123133338845,9413.1,190.60339859392738,9.6,3.0983866769659336,6
222.4,84.00687802528763,9122.7,300.6389676819838,14.9,4.998888765404656,7
339.0,122.31289565881615,8721.0,399.0939738958733,26.6,9.335713982098827,8
511.1,178.8863388362069,8137.2,612.39471657493,44.6,16.97841767264154,9
761.5,264.5109743575029,7337.1,825.8614963243601,68.8,26.557275630020655,10
1114.4,373.7138536961728,6276.3,1079.707784541725,109.9,38.18798531242807,11
1586.9,496.2200340798649,5028.3,1288.065478839402,170.7,55.81726136838556,12
2167.8,613.588678730847,3761.5,1323.578755579819,262.9,87.3949528163828,13
2843.0,700.6362188119532,2537.4,1155.0292155997133,390.0,125.84381854770089,14
3551.6,712.651106783677,1600.7,981.8115965454427,566.6,178.72150899591736,15
4190.4,678.8901400243063,964.5,673.1201395161359,800.8,230.71232688735506,16
4729.0,571.2563153066911,560.0,422.5948940113267,1095.4,296.43519059352957,17
5129.0,421.52606351472764,328.8,239.2222583475227,1453.7,363.54368528570416,18
5375.1,255.0004139430191,201.0,134.76069324712026,1865.5,429.20786210050824,19
5452.6,148.30539062653415,131.0,82.25975119502044,2336.0,485.9117432437934,20
5354.9,171.1876488275691,94.4,54.27952345651781,2860.3,537.8948782057699,21
5168.8,243.9420696258301,70.0,37.27972341337551,3403.5,557.4743143061492,22
4899.4,319.33723031720973,56.5,29.311544938243475,3956.3,570.6520734115394,23
4567.6,359.7598581770284,46.7,24.03261672533115,4512.3,561.6351227541874,24
4209.0,381.4551087611752,40.0,20.612833111653742,5045.7,536.5262859875139,25
3822.3,381.92205429322297,35.2,17.95550054997075,5569.4,507.84100749042403,26
3459.7,368.32113101959754,31.0,16.451950239004088,6041.6,467.170489935598,27
3111.7,349.46373202379675,27.6,14.561745927066728,6471.2,429.0487669769538,28
2784.1,328.113276510144,25.3,13.081369279330898,6866.9,391.196867176731,29
2487.0,307.2921158188808,23.8,12.44365076834144,7220.6,355.87519660065595,30
2199.2,287.4793905656543,23.1,12.187881048174225,7543.4,322.42835552172585,31
1954.8,260.2924850582086,22.5,11.825114516711174,7815.3,283.2937423319556,32
1726.2,242.81122068160047,21.6,11.843422928641308,8058.4,258.6233640730173,33
1511.9,221.3270330428607,20.3,11.264990013311152,8281.3,227.7552536288802,34
1319.6,199.92787588416869,19.5,10.69007847388305,8478.0,199.10131424310924,35
1156.1,179.76802953930505,19.2,10.443498775155128,8642.7,175.69484277513038,36
1014.2,161.03263989362875,18.6,10.254538290706002,8783.5,155.7549713849003,37
886.5,137.78505805138025,18.5,10.102254973794492,8909.7,132.2993659176877,38
777.3,121.96816524541694,18.2,10.195859726161181,9018.2,118.61590674666418,39
674.5,107.86848988982423,18.1,10.26807349668541,9119.2,105.16632329579443,40
588.7,94.45286890531406,18.1,10.26807349668541,9202.9,93.59896723076953,41
508.6,82.82001905068336,18.1,10.26807349668541,9281.3,83.85443737016345,42
433.9,73.15045378457258,17.8,10.064238117656442,9354.5,74.12339561688859,43
371.6,66.54355298933508,17.8,10.064238117656442,9416.3,68.06540971741812,44
316.0,57.90797296861058,17.8,10.064238117656442,9471.8,58.58479135217414,45
264.9,49.64417835400687,17.8,10.064238117656442,9522.2,51.854068735678254,46
220.2,42.822112667795054,17.8,10.064238117656442,9566.6,45.053548386583515,47
179.9,37.12875495413823,17.8,10.064238117656442,9606.7,41.27697771020656,48
147.5,30.797727188868986,17.7,10.089047967419368,9638.8,34.94058448916453,49
119.1,22.859231055406138,17.7,10.089047967419368,9667.2,27.615615550304543,50
95.4,17.270398567105122,17.7,10.089047967419368,9690.6,23.82435728409058,51
76.1,13.819872969347038,17.7,10.089047967419368,9709.6,22.731280454719467,52
60.0,11.728408057172787,17.7,10.089047967419368,9725.4,21.32395627249107,53
47.4,10.447753612885192,17.7,10.089047967419368,9737.8,20.076520282824582,54
36.5,10.426994879744703,17.7,10.089047967419368,9748.7,19.821705274773915,55
27.7,9.177871939253311,17.7,10.089047967419368,9757.4,18.252549289224113,56
20.5,7.043515536371814,17.7,10.089047967419368,9764.6,17.821335527956375,57
16.8,6.511528238439883,17.7,10.089047967419368,9768.3,17.76419620097309,58
13.5,5.797509043642029,17.7,10.089047967419368,9771.6,17.87735998406924,59
10.5,4.503085362035432,17.7,10.089047967419368,9774.6,16.774318995946686,60
7.3,3.6530048514126614,17.7,10.089047967419368,9777.7,16.29621632977013,61
5.5,3.3747427885527643,17.7,10.089047967419368,9779.5,16.399525738400012,62
4.2,2.780887148615228,17.7,10.089047967419368,9780.8,16.342174477916537,63
3.2,2.440400695696417,17.7,10.089047967419368,9781.8,16.61859734688153,64
2.3,1.636391694484477,17.7,10.089047967419368,9782.7,16.553280977229594,65
1.7,1.0593499054713802,17.7,10.089047967419368,9783.3,16.398170629676958,66
1.0,0.816496580927726,17.7,10.089047967419368,9784.0,16.42491332633989,67
0.6,0.5163977794943223,17.7,10.089047967419368,9784.4,16.42626622888544,68
0.6,0.5163977794943223,17.7,10.089047967419368,9784.4,16.42626622888544,69
0.5,0.5270462766947299,17.7,10.089047967419368,9784.5,16.29757991577618,70
0.4,0.5163977794943222,17.7,10.089047967419368,9784.6,16.283597746062004,71
0.3,0.4830458915396479,17.7,10.089047967419368,9784.7,16.18675727596825,72
0.3,0.4830458915396479,17.7,10.089047967419368,9784.7,16.18675727596825,73
0.3,0.4830458915396479,17.7,10.089047967419368,9784.7,16.18675727596825,74
0.2,0.42163702135578396,17.7,10.089047967419368,9784.8,16.198765385053267,75
0.2,0.42163702135578396,17.7,10.089047967419368,9784.8,16.198765385053267,76
0.1,0.31622776601683794,17.7,10.089047967419368,9784.9,16.203223273301038,77
0.1,0.31622776601683794,17.7,10.089047967419368,9784.9,16.203223273301038,78
0.1,0.31622776601683794,17.7,10.089047967419368,9784.9,16.203223273301038,79
0.1,0.31622776601683794,17.7,10.089047967419368,9784.9,16.203223273301038,80
0.0,0.0,17.7,10.089047967419368,9785.0,16.131404843417148,81
0.0,0.0,17.7,10.089047967419368,9785.0,16.131404843417148,82
0.0,0.0,17.7,10.089047967419368,9785.0,16.131404843417148,83
0.0,0.0,17.7,10.089047967419368,9785.0,16.131404843417148,84
0.0,0.0,17.7,10.089047967419368,9785.0,16.131404843417148,85
0.0,0.0,17.7,10.089047967419368,9785.0,16.131404843417148,86
0.0,0.0,17.7,10.089047967419368,9785.0,16.131404843417148,87
0.0,0.0,17.7,10.089047967419368,9785.0,16.131404843417148,88
0.0,0.0,17.7,10.089047967419368,9785.0,16.131404843417148,89
0.0,0.0,17.7,10.089047967419368,9785.0,16.131404843417148,90
0.0,0.0,17.7,10.089047967419368,9785.0,16.131404843417148,91
0.0,0.0,17.7,10.089047967419368,9785.0,16.131404843417148,92
0.0,0.0,17.7,10.089047967419368,9785.0,16.131404843417148,93
