time,age_group,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
0,1,14398461.0,0.9075864336179582,0.929018923672322,3,0,0,0,0,0,0,0,0,0
0,2,14398461.0,0.9075864336179582,0.929018923672322,1,0,0,0,0,0,0,0,0,0
0,3,14398461.0,0.9075864336179582,0.929018923672322,5,0,0,0,0,0,0,0,0,0
0,4,14398461.0,0.9075864336179582,0.929018923672322,1,0,0,0,0,0,0,0,0,0
0,5,14398461.0,0.9075864336179582,0.929018923672322,2,0,0,0,0,0,0,0,0,0
0,6,14398461.0,0.9075864336179582,0.929018923672322,1,0,0,0,0,0,0,0,0,0
0,7,14398461.0,0.9075864336179582,0.929018923672322,3,0,0,0,0,0,0,0,0,0
0,8,14398461.0,0.9075864336179582,0.929018923672322,1,0,0,0,0,0,0,0,0,0
0,9,14398461.0,0.9075864336179582,0.929018923672322,7,0,0,0,0,0,0,0,0,0
0,10,14398461.0,0.9075864336179582,0.929018923672322,4,0,0,0,0,0,0,0,0,0
0,11,14398461.0,0.9075864336179582,0.929018923672322,5,0,0,0,0,0,0,0,0,0
0,12,14398461.0,0.9075864336179582,0.929018923672322,5,0,0,0,0,0,0,0,0,0
0,13,14398461.0,0.9075864336179582,0.929018923672322,3,0,0,0,0,0,0,0,0,0
0,14,14398461.0,0.9075864336179582,0.929018923672322,6,0,0,0,0,0,0,0,0,0
0,15,14398461.0,0.9075864336179582,0.929018923672322,1,0,0,0,0,0,0,0,0,0
0,16,14398461.0,0.9075864336179582,0.929018923672322,0,0,0,0,0,0,0,0,0,0
0,17,14398461.0,0.9075864336179582,0.929018923672322,2,0,0,0,0,0,0,0,0,0
0,1,-2133031700.0,0.7914077698200178,0.7050752592548301,3,0,0,0,0,0,0,0,0,0
0,2,-2133031700.0,0.7914077698200178,0.7050752592548301,4,0,0,0,0,0,0,0,0,0
0,3,-2133031700.0,0.7914077698200178,0.7050752592548301,3,0,0,0,0,0,0,0,0,0
0,4,-2133031700.0,0.7914077698200178,0.7050752592548301,2,0,0,0,0,0,0,0,0,0
0,5,-2133031700.0,0.7914077698200178,0.7050752592548301,6,0,0,0,0,0,0,0,0,0
0,6,-2133031700.0,0.7914077698200178,0.7050752592548301,3,0,0,0,0,0,0,0,0,0
0,7,-2133031700.0,0.7914077698200178,0.7050752592548301,4,0,0,0,0,0,0,0,0,0
0,8,-2133031700.0,0.7914077698200178,0.7050752592548301,2,0,0,0,0,0,0,0,0,0
0,9,-2133031700.0,0.7914077698200178,0.7050752592548301,3,0,0,0,0,0,0,0,0,0
0,10,-2133031700.0,0.7914077698200178,0.7050752592548301,4,0,0,0,0,0,0,0,0,0
0,11,-2133031700.0,0.7914077698200178,0.7050752592548301,3,0,0,0,0,0,0,0,0,0
0,12,-2133031700.0,0.7914077698200178,0.7050752592548301,0,0,0,0,0,0,0,0,0,0
0,13,-2133031700.0,0.7914077698200178,0.7050752592548301,3,0,0,0,0,0,0,0,0,0
0,14,-2133031700.0,0.7914077698200178,0.7050752592548301,2,0,0,0,0,0,0,0,0,0
0,15,-2133031700.0,0.7914077698200178,0.7050752592548301,2,0,0,0,0,0,0,0,0,0
0,16,-2133031700.0,0.7914077698200178,0.7050752592548301,3,0,0,0,0,0,0,0,0,0
0,17,-2133031700.0,0.7914077698200178,0.7050752592548301,0,0,0,0,0,0,0,0,0,0
0,1,-2133031682.0,0.0735071081210095,0.266543242701601,1,0,0,0,0,0,0,0,0,0
0,2,-2133031682.0,0.0735071081210095,0.266543242701601,3,0,0,0,0,0,0,0,0,0
0,3,-2133031682.0,0.0735071081210095,0.266543242701601,4,0,0,0,0,0,0,0,0,0
0,4,-2133031682.0,0.0735071081210095,0.266543242701601,2,0,0,0,0,0,0,0,0,0
0,5,-2133031682.0,0.0735071081210095,0.266543242701601,5,0,0,0,0,0,0,0,0,0
0,6,-2133031682.0,0.0735071081210095,0.266543242701601,3,0,0,0,0,0,0,0,0,0
0,7,-2133031682.0,0.0735071081210095,0.266543242701601,5,0,0,0,0,0,0,0,0,0
0,8,-2133031682.0,0.0735071081210095,0.266543242701601,6,0,0,0,0,0,0,0,0,0
0,9,-2133031682.0,0.0735071081210095,0.266543242701601,3,0,0,0,0,0,0,0,0,0
0,10,-2133031682.0,0.0735071081210095,0.266543242701601,5,0,0,0,0,0,0,0,0,0
0,11,-2133031682.0,0.0735071081210095,0.266543242701601,6,0,0,0,0,0,0,0,0,0
0,12,-2133031682.0,0.0735071081210095,0.266543242701601,3,0,0,0,0,0,0,0,0,0
0,13,-2133031682.0,0.0735071081210095,0.266543242701601,3,0,0,0,0,0,0,0,0,0
0,14,-2133031682.0,0.0735071081210095,0.266543242701601,2,0,0,0,0,0,0,0,0,0
0,15,-2133031682.0,0.0735071081210095,0.266543242701601,2,0,0,0,0,0,0,0,0,0
0,16,-2133031682.0,0.0735071081210095,0.266543242701601,2,0,0,0,0,0,0,0,0,0
0,17,-2133031682.0,0.0735071081210095,0.266543242701601,2,0,0,0,0,0,0,0,0,0
0,1,14459923.0,0.5153986608856219,0.8941899521863513,2,0,0,0,0,0,0,0,0,0
0,2,14459923.0,0.5153986608856219,0.8941899521863513,5,0,0,0,0,0,0,0,0,0
0,3,14459923.0,0.5153986608856219,0.8941899521863513,3,0,0,0,0,0,0,0,0,0
0,4,14459923.0,0.5153986608856219,0.8941899521863513,6,0,0,0,0,0,0,0,0,0
