,time,location_x,location_y,age_group,cell,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
0,0.0,-64.8828703703704,32.275462962963,153,1156.0,853,0,0,3,0,0,0,0,0,0
1,0.0,-64.8828703703704,32.2837962962963,153,1054.0,316,0,0,1,0,0,0,0,0,0
2,0.0,-64.874537037037,32.2671296296296,153,1292.0,1037,0,0,0,0,0,0,0,0,0
3,0.0,-64.874537037037,32.275462962963,153,1173.0,416,0,0,0,0,0,0,0,0,0
4,0.0,-64.874537037037,32.2837962962963,153,1071.0,184,0,0,0,0,0,0,0,0,0
5,0.0,-64.874537037037,32.2921296296296,153,969.0,320,0,0,0,0,0,0,0,0,0
6,0.0,-64.874537037037,32.300462962963,153,816.0,1764,0,0,4,0,0,0,0,0,0
7,0.0,-64.874537037037,32.3087962962963,153,646.0,761,0,0,1,0,0,0,0,0,0
8,0.0,-64.8662037037037,32.2587962962963,153,1394.0,308,0,0,2,0,0,0,0,0,0
9,0.0,-64.8662037037037,32.300462962963,153,833.0,844,0,0,1,0,0,0,0,0,0
10,0.0,-64.8578703703704,32.275462962963,153,1190.0,49,0,0,0,0,0,0,0,0,0
11,0.0,-64.849537037037,32.2587962962963,153,1411.0,90,0,0,0,0,0,0,0,0,0
12,0.0,-64.8412037037037,32.2587962962963,153,1428.0,1565,0,0,3,0,0,0,0,0,0
13,0.0,-64.8328703703704,32.2587962962963,153,1445.0,850,0,0,1,0,0,0,0,0,0
14,0.0,-64.8328703703704,32.2671296296296,153,1309.0,521,0,0,2,0,0,0,0,0,0
15,0.0,-64.824537037037,32.2587962962963,153,1462.0,118,0,0,0,0,0,0,0,0,0
16,0.0,-64.824537037037,32.2671296296296,153,1326.0,1563,0,0,3,0,0,0,0,0,0
17,0.0,-64.8162037037037,32.2671296296296,153,1343.0,1389,0,0,2,0,0,0,0,0,0
18,0.0,-64.8162037037037,32.275462962963,153,1207.0,1221,0,0,2,0,0,0,0,0,0
19,0.0,-64.8162037037037,32.2921296296296,153,986.0,10,0,0,0,0,0,0,0,0,0
20,0.0,-64.8162037037037,32.3087962962963,153,663.0,614,0,0,1,0,0,0,0,0,0
21,0.0,-64.8078703703704,32.2671296296296,153,1360.0,1303,0,0,2,0,0,0,0,0,0
22,0.0,-64.8078703703704,32.275462962963,153,1224.0,1302,0,0,0,0,0,0,0,0,0
23,0.0,-64.8078703703704,32.300462962963,153,850.0,727,0,0,3,0,0,0,0,0,0
24,0.0,-64.8078703703704,32.3087962962963,153,680.0,856,0,0,1,0,0,0,0,0,0
25,0.0,-64.799537037037,32.2671296296296,153,1377.0,47,0,0,0,0,0,0,0,0,0
26,0.0,-64.799537037037,32.275462962963,153,1241.0,729,0,0,0,0,0,0,0,0,0
27,0.0,-64.799537037037,32.2837962962963,153,1088.0,854,0,0,2,0,0,0,0,0,0
28,0.0,-64.799537037037,32.300462962963,153,867.0,1487,0,0,2,0,0,0,0,0,0
29,0.0,-64.799537037037,32.3087962962963,153,697.0,767,0,0,0,0,0,0,0,0,0
30,0.0,-64.7912037037037,32.275462962963,153,1258.0,218,0,0,0,0,0,0,0,0,0
31,0.0,-64.7912037037037,32.2837962962963,153,1105.0,186,0,0,0,0,0,0,0,0,0
32,0.0,-64.7912037037037,32.300462962963,153,884.0,1518,0,0,0,0,0,0,0,0,0
33,0.0,-64.7912037037037,32.3087962962963,153,714.0,721,0,0,1,0,0,0,0,0,0
34,0.0,-64.7828703703704,32.275462962963,153,1275.0,73,0,0,0,0,0,0,0,0,0
35,0.0,-64.7828703703704,32.2837962962963,153,1122.0,582,0,0,2,0,0,0,0,0,0
36,0.0,-64.7828703703704,32.2921296296296,153,1003.0,467,0,0,1,0,0,0,0,0,0
37,0.0,-64.7828703703704,32.300462962963,153,901.0,1362,0,0,3,0,0,0,0,0,0
38,0.0,-64.7745370370371,32.2837962962963,153,1139.0,780,0,0,5,0,0,0,0,0,0
39,0.0,-64.7745370370371,32.2921296296296,153,1020.0,1070,0,0,6,0,0,0,0,0,0
40,0.0,-64.7745370370371,32.300462962963,153,918.0,1771,0,0,4,0,0,0,0,0,0
41,0.0,-64.7745370370371,32.3087962962963,153,731.0,1788,0,0,4,0,0,0,0,0,0
42,0.0,-64.7662037037037,32.2921296296296,153,1037.0,743,0,0,1,0,0,0,0,0,0
43,0.0,-64.7662037037037,32.300462962963,153,935.0,925,0,0,3,0,0,0,0,0,0
44,0.0,-64.7662037037037,32.3087962962963,153,748.0,404,0,0,1,0,0,0,0,0,0
45,0.0,-64.7578703703704,32.300462962963,153,952.0,1290,0,0,4,0,0,0,0,0,0
